epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.269,1.00549,2.1037,1.54266,0,0,0,0,4.23125,179.538,12.7552,0.000647059,0.000647059,0.000647059
2,64.7812,0.71481,1.01968,1.29956,0,0,0,0,4.86967,inf,1101.52,0.00127037,0.00127037,0.00127037
3,95.3944,0.62185,0.85124,1.19249,0,0,0,0,5.2419,537.702,80.9825,0.00184969,0.00184969,0.00184969
4,123.271,0.61539,0.82169,1.18624,0.0108,0.62319,0.00925,0.00093,4.12673,754.483,4.8858,0.001802,0.001802,0.001802
5,153.213,0.54865,0.70308,1.14675,0.14714,1,0.14796,0.07022,2.26354,58.2439,1.99129,0.001736,0.001736,0.001736
6,181.097,0.51932,0.66978,1.11116,0.98725,1,0.995,0.995,0.61803,1.71409,1.11724,0.00167,0.00167,0.00167
7,210.463,0.45623,0.60331,1.08515,0.68271,1,0.98079,0.49835,1.69097,7.13623,1.95511,0.001604,0.001604,0.001604
8,240.237,0.42196,0.55258,1.05785,0.97505,1,0.995,0.68721,0.50607,4.15428,0.81248,0.001538,0.001538,0.001538
9,267.346,0.38807,0.53479,1.02553,0.93195,1,0.96917,0.96917,0.4105,1.70799,0.94376,0.001472,0.001472,0.001472
10,297.275,0.35456,0.45792,1.00784,0.98491,1,0.995,0.995,0.27113,0.51552,0.63547,0.001406,0.001406,0.001406
11,325.726,0.3108,0.42903,0.99047,0.97836,1,0.98614,0.98614,0.19216,0.45497,0.60581,0.00134,0.00134,0.00134
12,354.392,0.30862,0.46338,0.99405,0.99647,1,0.995,0.94048,0.52889,0.38975,0.76064,0.001274,0.001274,0.001274
13,384.933,0.29326,0.43252,0.98575,0.98147,1,0.995,0.9345,0.26703,2.03758,0.58468,0.001208,0.001208,0.001208
14,411.89,0.28696,0.44992,0.98129,0.99626,1,0.995,0.995,0.19679,0.27889,0.56134,0.001142,0.001142,0.001142
15,442.055,0.26437,0.40644,0.96687,0.99875,1,0.995,0.995,0.24157,0.33522,0.6726,0.001076,0.001076,0.001076
16,469.711,0.24549,0.36602,0.96727,0.99917,1,0.995,0.995,0.1772,0.24633,0.57157,0.00101,0.00101,0.00101
17,499.606,0.23785,0.36389,0.95151,0.99894,1,0.995,0.995,0.19398,0.209,0.59573,0.000944,0.000944,0.000944
18,528.93,0.21601,0.31458,0.94108,0.99763,1,0.995,0.995,0.21001,0.20479,0.58477,0.000878,0.000878,0.000878
19,556.194,0.21386,0.33765,0.9402,0.99909,1,0.995,0.995,0.16074,0.2243,0.52184,0.000812,0.000812,0.000812
20,587.086,0.2042,0.32282,0.94208,0.99918,1,0.995,0.995,0.1553,0.20773,0.49721,0.000746,0.000746,0.000746
21,619.547,0.12194,0.22204,0.87309,0.99557,1,0.995,0.995,0.12394,0.36357,0.47886,0.00068,0.00068,0.00068
22,646.679,0.11906,0.17028,0.86848,0.99874,1,0.995,0.995,0.12312,0.22712,0.4697,0.000614,0.000614,0.000614
23,676.77,0.10433,0.14914,0.87984,0.99924,1,0.995,0.995,0.18604,0.2857,0.58395,0.000548,0.000548,0.000548
24,704.073,0.09285,0.13727,0.85007,0.99926,1,0.995,0.995,0.14377,0.14112,0.51095,0.000482,0.000482,0.000482
25,734.367,0.09047,0.12628,0.85091,0.99926,1,0.995,0.995,0.1214,0.22224,0.50051,0.000416,0.000416,0.000416
26,762.169,0.08082,0.11879,0.86083,0.99925,1,0.995,0.995,0.12999,0.19486,0.49608,0.00035,0.00035,0.00035
27,791.474,0.07545,0.12729,0.84919,0.99924,1,0.995,0.995,0.12514,0.20582,0.50535,0.000284,0.000284,0.000284
28,820.002,0.06473,0.10494,0.84536,0.99926,1,0.995,0.995,0.12768,0.1871,0.50349,0.000218,0.000218,0.000218
29,847.347,0.05602,0.09777,0.8442,0.99927,1,0.995,0.995,0.08961,0.16179,0.47504,0.000152,0.000152,0.000152
30,875.762,0.05121,0.09091,0.84321,0.99926,1,0.995,0.995,0.10065,0.16299,0.48331,8.6e-05,8.6e-05,8.6e-05
